"model","effect","term","estimate","std_error","t_value","95CI_low","95CI_up","group","nb_obs","nb_groups"
"YUVC","ran_pars","sd__(Intercept)",0.4908,,,0.3372,0.6977,"year",,19
"YUVC","ran_pars","sd__Observation",0.6642,,,0.5558,0.7408,"Residual",334,
"YC","fixed","(Intercept)",-0.2469,0.1473,-1.6766,-0.5297,0.0325,,,
"YC","fixed","relative_par_load",0.0392,0.0712,0.5508,-0.1,0.176,,,
"YC","fixed","hatch_size",0.0313,0.0548,0.5713,-0.0748,0.1381,,,
"YC","fixed","sexM",0.4918,0.1018,4.8287,0.2936,0.689,,,
"YC","fixed","min_age",0.0311,0.0508,0.6114,-0.0682,0.1292,,,
"YC","fixed","periodF",0.0968,0.1213,0.7981,-0.1358,0.3341,,,
"YC","fixed","laydate",0.0015,0.0578,0.0254,-0.1087,0.1148,,,
"YC","fixed","relative_par_load:hatch_size",0.0251,0.0602,0.4165,-0.0908,0.1426,,,
"YC","fixed","relative_par_load:sexM",0.0102,0.099,0.1035,-0.1818,0.2028,,,
"YC","ran_pars","sd__(Intercept)",0.3313,,,0.1274,0.4733,"indID",,257
"YC","ran_pars","sd__(Intercept)",0,,,0,0.2528,"pairID",,232
"YC","ran_pars","sd__(Intercept)",0.4201,,,0.2533,0.6281,"year",,19
"YC","ran_pars","sd__Observation",0.7993,,,0.7131,0.9036,"Residual",334,
